# hebrew versification -> KJV standard; single-verse diffs only (identity elsewhere). Source: STEPBible TVTMS (CC-BY). shoresh versification.build
source_ref	standard_ref	action
DEU 13:8	DEU 13:7	Renumber verse
DEU 13:9	DEU 13:8	Renumber verse
DEU 23:1	DEU 22:30	Renumber verse
DEU 23:10	DEU 23:9	Renumber verse
DEU 23:11	DEU 23:10	Renumber verse
DEU 23:12	DEU 23:11	Renumber verse
DEU 23:13	DEU 23:12	Renumber verse
DEU 23:14	DEU 23:13	Renumber verse
DEU 23:15	DEU 23:14	Renumber verse
DEU 23:16	DEU 23:15	Renumber verse
DEU 23:17	DEU 23:16	Renumber verse
DEU 23:18	DEU 23:17	Renumber verse
DEU 23:19	DEU 23:18	Renumber verse
DEU 23:2	DEU 23:1	Renumber verse
DEU 23:20	DEU 23:19	Renumber verse
DEU 23:21	DEU 23:20	Renumber verse
DEU 23:22	DEU 23:21	Renumber verse
DEU 23:23	DEU 23:22	Renumber verse
DEU 23:24	DEU 23:23	Renumber verse
DEU 23:25	DEU 23:24	Renumber verse
DEU 23:26	DEU 23:25	Renumber verse
DEU 23:3	DEU 23:2	Renumber verse
DEU 23:4	DEU 23:3	Renumber verse
DEU 23:5	DEU 23:4	Renumber verse
DEU 23:6	DEU 23:5	Renumber verse
DEU 23:7	DEU 23:6	Renumber verse
DEU 23:8	DEU 23:7	Renumber verse
DEU 23:9	DEU 23:8	Renumber verse
DEU 28:69	DEU 29:1	Renumber verse
DEU 29:1	DEU 29:2	Renumber verse
DEU 29:10	DEU 29:11	Renumber verse
DEU 29:11	DEU 29:12	Renumber verse
DEU 29:12	DEU 29:13	Renumber verse
DEU 29:13	DEU 29:14	Renumber verse
DEU 29:14	DEU 29:15	Renumber verse
DEU 29:15	DEU 29:16	Renumber verse
DEU 29:16	DEU 29:17	Renumber verse
DEU 29:17	DEU 29:18	Renumber verse
DEU 29:18	DEU 29:19	Renumber verse
DEU 29:19	DEU 29:20	Renumber verse
DEU 29:2	DEU 29:3	Renumber verse
DEU 29:20	DEU 29:21	Renumber verse
DEU 29:21	DEU 29:22	Renumber verse
DEU 29:22	DEU 29:23	Renumber verse
DEU 29:23	DEU 29:24	Renumber verse
DEU 29:24	DEU 29:25	Renumber verse
DEU 29:25	DEU 29:26	Renumber verse
DEU 29:26	DEU 29:27	Renumber verse
DEU 29:27	DEU 29:28	Renumber verse
DEU 29:28	DEU 29:29	Renumber verse
DEU 29:3	DEU 29:4	Renumber verse
DEU 29:4	DEU 29:5	Renumber verse
DEU 29:5	DEU 29:6	Renumber verse
DEU 29:6	DEU 29:7	Renumber verse
DEU 29:7	DEU 29:8	Renumber verse
DEU 29:8	DEU 29:9	Renumber verse
DEU 29:9	DEU 29:10	Renumber verse
ECC 4:17	ECC 5:1	Renumber verse
ECC 5:1	ECC 5:2	Renumber verse
ECC 5:10	ECC 5:11	Renumber verse
ECC 5:11	ECC 5:12	Renumber verse
ECC 5:12	ECC 5:13	Renumber verse
ECC 5:13	ECC 5:14	Renumber verse
ECC 5:14	ECC 5:15	Renumber verse
ECC 5:15	ECC 5:16	Renumber verse
ECC 5:16	ECC 5:17	Renumber verse
ECC 5:17	ECC 5:18	Renumber verse
ECC 5:18	ECC 5:19	Renumber verse
ECC 5:19	ECC 5:20	Renumber verse
ECC 5:2	ECC 5:3	Renumber verse
ECC 5:3	ECC 5:4	Renumber verse
ECC 5:4	ECC 5:5	Renumber verse
ECC 5:5	ECC 5:6	Renumber verse
ECC 5:6	ECC 5:7	Renumber verse
ECC 5:7	ECC 5:8	Renumber verse
ECC 5:8	ECC 5:9	Renumber verse
ECC 5:9	ECC 5:10	Renumber verse
EXO 21:37	EXO 22:1	Renumber verse
EXO 22:1	EXO 22:2	Renumber verse
EXO 22:10	EXO 22:11	Renumber verse
EXO 22:11	EXO 22:12	Renumber verse
EXO 22:12	EXO 22:13	Renumber verse
EXO 22:13	EXO 22:14	Renumber verse
EXO 22:14	EXO 22:15	Renumber verse
EXO 22:15	EXO 22:16	Renumber verse
EXO 22:16	EXO 22:17	Renumber verse
EXO 22:17	EXO 22:18	Renumber verse
EXO 22:18	EXO 22:19	Renumber verse
EXO 22:19	EXO 22:20	Renumber verse
EXO 22:2	EXO 22:3	Renumber verse
EXO 22:20	EXO 22:21	Renumber verse
EXO 22:21	EXO 22:22	Renumber verse
EXO 22:22	EXO 22:23	Renumber verse
EXO 22:23	EXO 22:24	Renumber verse
EXO 22:24	EXO 22:25	Renumber verse
EXO 22:25	EXO 22:26	Renumber verse
EXO 22:26	EXO 22:27	Renumber verse
EXO 22:27	EXO 22:28	Renumber verse
EXO 22:28	EXO 22:29	Renumber verse
EXO 22:29	EXO 22:30	Renumber verse
EXO 22:3	EXO 22:4	Renumber verse
EXO 22:30	EXO 22:31	Renumber verse
EXO 22:4	EXO 22:5	Renumber verse
EXO 22:5	EXO 22:6	Renumber verse
EXO 22:6	EXO 22:7	Renumber verse
EXO 22:7	EXO 22:8	Renumber verse
EXO 22:8	EXO 22:9	Renumber verse
EXO 22:9	EXO 22:10	Renumber verse
EXO 7:26	EXO 8:1	Renumber verse
EXO 7:27	EXO 8:2	Renumber verse
EXO 7:28	EXO 8:3	Renumber verse
EXO 7:29	EXO 8:4	Renumber verse
EXO 8:1	EXO 8:5	Renumber verse
EXO 8:10	EXO 8:14	Renumber verse
EXO 8:11	EXO 8:15	Renumber verse
EXO 8:12	EXO 8:16	Renumber verse
EXO 8:13	EXO 8:17	Renumber verse
EXO 8:14	EXO 8:18	Renumber verse
EXO 8:15	EXO 8:19	Renumber verse
EXO 8:16	EXO 8:20	Renumber verse
EXO 8:17	EXO 8:21	Renumber verse
EXO 8:18	EXO 8:22	Renumber verse
EXO 8:19	EXO 8:23	Renumber verse
EXO 8:2	EXO 8:6	Renumber verse
EXO 8:20	EXO 8:24	Renumber verse
EXO 8:21	EXO 8:25	Renumber verse
EXO 8:22	EXO 8:26	Renumber verse
EXO 8:23	EXO 8:27	Renumber verse
EXO 8:24	EXO 8:28	Renumber verse
EXO 8:25	EXO 8:29	Renumber verse
EXO 8:26	EXO 8:30	Renumber verse
EXO 8:27	EXO 8:31	Renumber verse
EXO 8:28	EXO 8:32	Renumber verse
EXO 8:3	EXO 8:7	Renumber verse
EXO 8:4	EXO 8:8	Renumber verse
EXO 8:5	EXO 8:9	Renumber verse
EXO 8:6	EXO 8:10	Renumber verse
EXO 8:7	EXO 8:11	Renumber verse
EXO 8:8	EXO 8:12	Renumber verse
EXO 8:9	EXO 8:13	Renumber verse
EZK 21:1	EZK 20:45	Renumber verse
EZK 21:10	EZK 21:5	Renumber verse
EZK 21:11	EZK 21:6	Renumber verse
EZK 21:12	EZK 21:7	Renumber verse
EZK 21:13	EZK 21:8	Renumber verse
EZK 21:14	EZK 21:9	Renumber verse
EZK 21:15	EZK 21:10	Renumber verse
EZK 21:16	EZK 21:11	Renumber verse
EZK 21:17	EZK 21:12	Renumber verse
EZK 21:18	EZK 21:13	Renumber verse
EZK 21:19	EZK 21:14	Renumber verse
EZK 21:2	EZK 20:46	Renumber verse
EZK 21:20	EZK 21:15	Renumber verse
EZK 21:21	EZK 21:16	Renumber verse
EZK 21:22	EZK 21:17	Renumber verse
EZK 21:23	EZK 21:18	Renumber verse
EZK 21:24	EZK 21:19	Renumber verse
EZK 21:25	EZK 21:20	Renumber verse
EZK 21:26	EZK 21:21	Renumber verse
EZK 21:27	EZK 21:22	Renumber verse
EZK 21:28	EZK 21:23	Renumber verse
EZK 21:29	EZK 21:24	Renumber verse
EZK 21:3	EZK 20:47	Renumber verse
EZK 21:30	EZK 21:25	Renumber verse
EZK 21:31	EZK 21:26	Renumber verse
EZK 21:32	EZK 21:27	Renumber verse
